"ean","gtin","fonteinfo","marca","produto","quantidade","unidade","quantidadeconvert","unidadeconvert","valor energetico","proteina","lipideos","colesterol","carboidrato","fibra alimentar","calcio","magnesio","manganes","fosforo","ferro","sodio","potassio","cobre","zinco","vitamina c"
"7891910000197","07891910000197","embalagem","União","Açúcar Refinado","5","g","1","colher de chá",20,,,,"5.0",,,,,,,,,,,
"7894900700015","07894900700015","embalagem","Coca-Cola","Refrigerante Zero

  ","350","ml","1","lata",,,,,,,,,,,,"49.0",,,,
,,"TACO",,"Arroz, integral, cozido","100","g",,,124,"2,6","1,0","NA","25,8","2,7",5,59,"0,63",106,"0,3",1,75,"0,02","0,7",
,,"TACO",,"Arroz, integral, cru","100","g",,,360,"7,3","1,9","NA","77,5","4,8",8,110,"2,99",251,"0,9",2,173,"0,07","1,4",
,,"TACO",,"Arroz, tipo 1, cozido","100","g",,,128,"2,5","0,2","NA","28,1","1,6",4,2,"0,30",18,"0,1",1,15,"0,02","0,5",
,,"TACO",,"Arroz, tipo 1, cru","100","g",,,358,"7,2","0,3","NA","78,8","1,6",4,30,"1,03",104,"0,7",1,62,"0,11","1,2",
,,"TACO",,"Arroz, tipo 2, cozido","100","g",,,130,"2,6","0,4","NA","28,2","1,1",3,6,"0,37",22,"0,1",2,20,"0,04","0,5",
,,"TACO",,"Arroz, tipo 2, cru","100","g",,,358,"7,2","0,3","NA","78,9","1,7",5,29,"0,83",82,"0,6",1,57,"0,05","1,3",
,,"TACO",,"Aveia, flocos, crua","100","g",,,394,"13,9","8,5","NA","66,6","9,1",48,119,"1,89",153,"4,4",5,336,"0,44","2,6","1,4"
,,"TACO",,"Biscoito, doce, maisena","100","g",,,443,"8,1","12,0","NA","75,2","2,1",54,37,"0,78",166,"1,8",352,142,"0,17","1,0","6,2"
,,"TACO",,"Biscoito, doce, recheado com chocolate","100","g",,,472,"6,4","19,6","Tr","70,5","3,0",27,48,"0,59",139,"2,3",239,232,"0,27","1,0","3,5"
,,"TACO",,"Biscoito, doce, recheado com morango","100","g",,,471,"5,7","19,6","Tr","71,0","1,5",36,27,"0,66",138,"1,5",230,113,"0,13","0,7","Tr"
,,"TACO",,"Biscoito, doce, wafer, recheado de chocolate","100","g",,,502,"5,6","24,7","Tr","67,5","1,8",23,48,"0,44",124,"2,4",137,240,"0,26","0,9","Tr"
,,"TACO",,"Biscoito, doce, wafer, recheado de morango","100","g",,,513,"4,5","26,4",1,"67,4","0,8",14,19,"0,28",73,"1,1",120,75,"0,08","0,5",
,,"TACO",,"Biscoito, salgado, cream cracker","100","g",,,432,"10,1","14,4","NA","68,7","2,5",20,40,"0,69",148,"2,2",854,181,"0,18","1,1",
,,"TACO",,"Bolo, mistura para","100","g",,,419,"6,2","6,1","Tr","84,7","1,7",59,28,"0,46",333,"1,2",463,75,"0,15","0,6","Tr"
,,"TACO",,"Bolo, pronto, aipim","100","g",,,324,"4,4","12,7",73,"47,9","0,7",85,10,"0,11",122,"0,5",111,135,"0,05","0,4","Tr"
,,"TACO",,"Bolo, pronto, chocolate","100","g",,,410,"6,2","18,5",77,"54,7","1,4",75,28,"0,38",197,"2,1",283,212,"0,05","0,7","Tr"
,,"TACO",,"Bolo, pronto, coco","100","g",,,333,"5,7","11,3",63,"52,3","1,1",57,16,"0,40",303,"0,8",190,143,"0,09","0,7","Tr"
,,"TACO",,"Bolo, pronto, milho","100","g",,,311,"4,8","12,4",82,"45,1","0,7",83,10,"0,11",128,"0,7",134,118,"0,04","0,4","Tr"
,,"TACO",,"Canjica, branca, crua","100","g",,,358,"7,2","1,0","NA","78,1","5,5",2,12,"0,09",48,"0,3",1,93,"0,05","0,4","Tr"
,,"TACO",,"Canjica, com leite integral","100","g",,,112,"2,4","1,2",1,"23,6","1,2",43,6,"0,02",41,"0,1",28,70,"0,03","0,3","Tr"
,,"TACO",,"Cereais, milho, flocos, com sal","100","g",,,370,"7,3","1,6","NA","80,8","5,3",2,20,"Tr",91,"0,5",272,69,"Tr","0,6","Tr"
,,"TACO",,"Cereais, milho, flocos, sem sal","100","g",,,363,"6,9","1,2","NA","80,4","1,8",2,17,"Tr",58,"1,7",31,29,"0,24","0,3","Tr"
,,"TACO",,"Cereais, mingau, milho, infantil","100","g",,,394,"6,4","1,1","NA","87,3","3,2",219,16,"0,11",169,"3,0",399,82,"0,04","0,4","109,4"
,,"TACO",,"Cereais, mistura para vitamina, trigo, cevada e aveia","100","g",,,381,"8,9","2,1","NA","81,6","5,0",584,72,"2,28",515,"12,6",1163,244,"0,21","2,0","13,1"
,,"TACO",,"Cereal matinal, milho","100","g",,,365,"7,2","1,0","NA","83,8","4,1",143,11,"0,06",101,"3,1",655,83,"0,06","7,6","17,3"
,,"TACO",,"Cereal matinal, milho, açúcar","100","g",,,377,"4,7","0,7","NA","88,8","2,1",56,8,"0,13",43,"3,9",405,52,"0,04","8,5","14,6"
,,"TACO",,"Creme de arroz, pó","100","g",,,386,"7,0","1,2","NA","83,9","1,1",7,51,"1,24",153,"0,6",1,115,"0,04","1,9","Tr"
,,"TACO",,"Creme de milho, pó","100","g",,,333,"4,8","1,6","NA","86,1","3,7",323,30,"0,20",303,"4,3",594,166,"0,04","0,8","96,3"
